,Usename,Time,Like_count,Comments,blogger,sentiments,weight,isFan
0,唐三是个小暖心,Thu Mar 12 20:44:17 +0800 2020,23024.0,"""其实小蔡本身就没什么实质性黑点吧 所以一时的玩梗也不会一直持续 现在看就是挺好的一个小朋友""",mgyl,0.40692723253523744,11512.0,False
1,吃菜菜不吃菜菜-,Thu Mar 12 21:03:23 +0800 2020,16527.0,"""不是自嘲 是释然是算了是大方回应被恶意剪辑鬼畜掩盖了的兴趣爱好本身  温柔地说出“ 篮球是我的爱好” 热爱真的无罪~""",mgyl,0.9999982700224938,8263.5,True
2,282号发光虫,Thu Mar 12 20:04:19 +0800 2020,10549.0,"""多一些了解和靠近这个只是坚持自己的热爱的大男孩吧""",mgyl,0.9286319765950749,5274.5,True
3,抱月亮睡,Thu Mar 12 21:03:43 +0800 2020,9425.0,"""“喜欢唱 跳 rap 篮球“小蔡一直说的都是“喜欢篮球“恶意鬼畜剪辑可以使一个人面目全非，让有的人还不认识他却已经开始讨厌他。男生喜欢打球是再正常不过的，恭喜小蔡终于能笑着说出来""",mgyl,0.9972233539738402,4712.5,False
4,GG-Pink,Sun Mar 15 13:34:01 +0800 2020,7426.0,"""严厉有温度，温柔有原则！超级暖心的蔡PD啊！""",xlzy,0.9680512780357429,3713.0,False
5,八月狮子喵,Sun Mar 15 13:34:51 +0800 2020,6759.0,"""哈哈哈哈哈他真的好有梗好可爱哦""",xlzy,0.9895074946451965,3379.5,True
6,SweetheartKUN_徐徐,Thu Mar 26 19:45:55 +0800 2020,6230.0,"""好看我好喜欢，“蓝”朋友，好帅，晚上不见不散蔡代表""",wbzy,0.9888978267097124,3115.0,True
7,单单crush,Thu Mar 12 20:09:52 +0800 2020,5369.0,"""所以还是要了解才能下定论""",mgyl,0.14774038758298658,2684.5,False
8,WiiiiKUN,Thu Mar 12 20:03:58 +0800 2020,5321.0,"""青春是漫长人生里最缤纷的色彩,热爱便是青春最美好的注解。同青春制作人代表@蔡徐坤 一起，为梦想增添一束光亮，用热爱记录最好的青春。""",mgyl,0.9999999999999993,2660.5,True
9,墨鱼破壳仔,Sun Mar 15 13:34:39 +0800 2020,5241.0,"""哇，蔡徐坤的专访呀，快来看呀，蔡pd超有料呀""",xlzy,0.9250067761655201,2620.5,False
10,KUN_柠萌,Thu Mar 12 20:03:46 +0800 2020,5180.0,"""蔡pd坚持你热爱的，我们一直在""",mgyl,0.952057268601964,2590.0,True
11,Ridiculous_Kun,Thu Mar 26 19:45:56 +0800 2020,5020.0,"""蔡徐坤太可爱啦""",wbzy,0.8900340347543289,2510.0,False
12,阳光养蔡场,Sun Mar 15 13:34:24 +0800 2020,4046.0,"""蔡代表我来了""",xlzy,0.8654233973777261,2023.0,False
13,小葵肉包,Thu Mar 26 19:46:11 +0800 2020,3890.0,"""哈哈哈哈哈哈哈蔡pd太可啦 爱了爱了""",wbzy,0.9981422411411499,1945.0,True
