Usename,Time,Like_count,Floor_number,Sourse,Comments
絮絮叨叨的精分小伙砸,Mon Mar 09 15:54:10 +0800 2020,183778,111,,"""有点做作"""
鹅组情报员,Mon Mar 09 15:45:22 +0800 2020,10277,1,,"""视频源网络，侵删"""
卖火柴的益达i,Mon Mar 09 15:45:51 +0800 2020,87177,2,,"""好尴尬"""
娜娜爱吃甜草莓,Mon Mar 09 16:44:52 +0800 2020,83093,125,,"""为什么声音这么嗲？？？？？？嗲过头了就不好了"""
永不下线的郭小鹅,Mon Mar 09 16:46:17 +0800 2020,55484,136,,"""。。。。这个声音好恶。。。。心。。"""
好大的瓜啊,Mon Mar 09 16:51:08 +0800 2020,40554,210,,"""cxk："""
追困少女,Mon Mar 09 16:49:51 +0800 2020,27920,183,,"""既然提到了蔡制作人 那大家就来看看帅哥吧"""
不知名网友鹿,Mon Mar 09 16:54:38 +0800 2020,15933,321,,"""这里前面妹妹以为走错了又出去过一次再进来 所以小菜应该是在联想她在演情景剧这样的吧哈哈"""
蛋黄酥椰子,Mon Mar 09 16:50:37 +0800 2020,13885,201,,"""哈哈哈哈哈哈哈哈哈哈哈蔡徐坤太好笑了吧"""
NINEPERCENT蔡徐坤·,Mon Mar 09 15:59:14 +0800 2020,10415,112,,"""蔡徐坤：？？？"""
轲邶,Mon Mar 09 16:43:58 +0800 2020,11689,121,,"""这声音听的我鸡皮疙瘩都起来了"""
BEMYLION,Mon Mar 09 17:21:39 +0800 2020,9310,4034,,"""蔡粉提前声明，蔡徐坤有一些超冷的梗，偶像行为不要上升粉丝哈！"""
育人小学校长,Mon Mar 09 16:45:10 +0800 2020,9149,131,,"""声音吐了。。"""
蜜桃派派贤,Mon Mar 09 17:01:30 +0800 2020,6834,1067,,"""她现在这样 会把路人粉刚看过（下一站幸福的）好感 降为负值.....真的... 再紧张也不用这么刻意结巴吧..要走lisa小迷妹路线？？"""
深泽狙击,Mon Mar 09 17:07:26 +0800 2020,5918,1823,,"""路人飘过 蔡徐坤好帅"""
游弋的鱼,Mon Mar 09 16:53:57 +0800 2020,5345,295,,"""徐坤好有梗呀，哈哈哈，都怪可爱的，后面还开玩笑是161就进不去那个公司吗"""
好想听马嘉祺唱歌,Mon Mar 09 17:13:38 +0800 2020,5189,2690,,"""谢谢竟然get到了蔡徐坤？？？"""
bingkele_1223,Mon Mar 09 16:45:07 +0800 2020,5522,129,,"""视频真尴尬。。。"""
25階非常口,Mon Mar 09 16:18:16 +0800 2020,4289,117,,"""Ella说的那句你怎么那么好笑戳中我笑点"""
何阿优,Mon Mar 09 17:02:06 +0800 2020,3841,1139,,"""只有我觉得蔡徐坤说这句话是想让大家觉得这女的没那么做作吗"""
