Usename,Time,Like_count,Floor_number,Sourse,Comments
柠栀去洗头了,Wed Mar 18 12:33:42 +0800 2020,966,14,,"""作品即是他最好的盔甲"""
仲长莎莉清清,Wed Mar 18 12:34:38 +0800 2020,805,30,,"""永远寻求突破，永远不懈努力，最终成就闪耀的自己 蔡徐坤一直用作品说话！"""
春色梅子酒,Wed Mar 18 12:33:57 +0800 2020,653,18,,"""用时间来证明一切"""
KUN的Rock少女碎碎,Wed Mar 18 12:32:50 +0800 2020,576,2,,"""作品就是他最好的盔甲"""
K优恩的流羽酱,Wed Mar 18 12:34:35 +0800 2020,419,28,,"""作品就是他最好的铠甲"""
穆勒女票,Wed Mar 18 12:33:49 +0800 2020,357,16,,"""作品是他最好的盔甲"""
K幼恩初见藍玫瑰,Wed Mar 18 12:33:12 +0800 2020,318,6,,"""作品是他最好的盔甲！时间会证明一切"""
是福猪陌陌吖,Wed Mar 18 12:34:57 +0800 2020,248,35,,"""你的作品是舞台！不要着急回应所有的声音！[贊]"""
小猪无语惹,Wed Mar 18 12:34:31 +0800 2020,183,26,,"""你的作品就是舞台"""
困困喏·,Wed Mar 18 12:35:24 +0800 2020,156,38,,"""作品是舞台，也是最好的盔甲@蔡徐坤"""
逐風執事,Wed Mar 18 12:35:35 +0800 2020,126,42,,"""有热爱就无所畏惧"""
菀·_·IKUN,Wed Mar 18 12:33:24 +0800 2020,114,9,,"""出道以来一直初心不变，坚持做音乐期待未来更多好作品"""
Cici茜茜公主-,Wed Mar 18 12:34:28 +0800 2020,97,25,,"""“命运的礼物都有他的价格，而这个价格，我蔡徐坤付的起”目光清澈，活得通透，终有一天，你要的时光都会给你。@蔡徐坤 """
AugustGilding-,Wed Mar 18 12:37:19 +0800 2020,75,187,,"""作品就是他最好的铠甲"""
·LovingStrangers,Wed Mar 18 12:33:09 +0800 2020,62,5,,"""用舞台来回应声音"""
向沂可可,Wed Mar 18 12:38:41 +0800 2020,53,209,,"""多一些了解和靠近这个只是坚持自己的热爱的大男孩吧 期待蔡PD 周四周六晚八点不见不散@蔡徐坤"""
kun式无语的浪漫,Wed Mar 18 12:36:01 +0800 2020,50,166,,"""每个走过的经历都会变成财富——蔡徐坤"""
桥儿ikun,Wed Mar 18 12:39:13 +0800 2020,44,222,,"""作品是最好的回应，蔡徐坤加油"""
蔡徐坤TOUR_MEETING,Wed Mar 18 12:37:45 +0800 2020,34,191,,"""作品就是你的舞台！"""
大奎葵花籽KUN,Wed Mar 18 12:35:25 +0800 2020,37,39,,"""蔡徐坤舞台专注，作品是他的铠甲"""
猪光宝气核桃包,Wed Mar 18 12:45:12 +0800 2020,23,323,,"""坚持热爱 用作品说话"""
八月恋雪葵,Wed Mar 18 12:44:49 +0800 2020,18,313,,"""一如既往坚定，诠释不羁少年意气，不经意的小举动温柔又暖心“每个女生都是独一无二的” @蔡徐坤 """
超级小葵Hua,Wed Mar 18 12:42:32 +0800 2020,17,267,,"""“做好准备的人，会得到一颗糖，你的作品就是舞台”，@蔡徐坤 一直相信舞台上的自己是最真实的自己"""
·绝缘体KUN·,Wed Mar 18 12:40:39 +0800 2020,12,241,,"""时间会证明一切 做好准备的人 一定会得到一颗糖[爱心]"""
南南akunkun,Wed Mar 18 12:37:13 +0800 2020,13,186,,"""作品是他的一切"""
倪倪倪小美,Wed Mar 18 12:48:03 +0800 2020,12,384,,"""用时间来证明一切"""
花菜投手,Wed Mar 18 12:47:31 +0800 2020,14,377,,"""作品是他最好的盔甲！"""
Grow_菜园小ak,Wed Mar 18 12:43:13 +0800 2020,11,282,,"""用时间和作品来证明一切"""
Ikun_可爱,Wed Mar 18 12:41:03 +0800 2020,10,249,,"""何必顺应 不惧流言 热爱至上"""
笔咖楸,Wed Mar 18 12:36:18 +0800 2020,17,174,,"""他的回应是他的作品"""
August_紫菜包饭,Wed Mar 18 12:36:58 +0800 2020,7,183,,"""你的作品就是你最好的盔甲，一切其他的东西都将转瞬消逝，只有你的盔甲会陪着你战斗到最后一刻。试着去聆听他的作品，试着去体会他的经历，你一定会对他有新的看法。蔡徐坤，值得喜爱！"""
·802LY·U星葵倾·,Wed Mar 18 13:46:24 +0800 2020,5,694,,"""坚守热爱，用作品回应争议。用心做好每一个舞台，认真对待每一首音乐。时间会证明一切，用作品来说话。蔡徐坤很棒！！！"""
请一定加油,Wed Mar 18 12:41:51 +0800 2020,9,258,,"""时间会带走很多记忆，但作品会永远留下来，@蔡徐坤 回应各种目光的的就是他的作品。"""
清汤少油不要葱,Wed Mar 18 12:41:01 +0800 2020,7,248,,"""你的作品，是舞台@蔡徐坤"""
冒菜要吃变态辣,Wed Mar 18 12:34:03 +0800 2020,6,19,,"""坚定热爱就能行"""
