,Usename,Time,Like_count,Comments,blogger,weight,sentiments,isFan
0,荷兰豆养殖专家,Thu Mar 12 21:53:44 +0800 2020,8187,"""我没看过偶，我承认我后悔了""",hld,4093.5,0.11685703448891238,False
1,七分甜落,Thu Mar 12 21:53:31 +0800 2020,6747,"""他C位定有他的理由 我没追那年偶 但他在快本给谢娜挡锅真的有戳我""",hld,3373.5,0.9544894021895972,False
2,青春有你2-懒羊羊,Thu Mar 12 21:52:06 +0800 2020,5342,"""我好后悔当年没看偶练，让我失去了一个老公""",hld,2671.0,0.5044859434244928,False
3,生无可恋的尖尖,Thu Mar 12 21:52:04 +0800 2020,4556,"""确实今晚突然就get到他了""",hld,2278.0,0.6072222696926431,False
4,ulxxgnim,Thu Mar 12 21:59:07 +0800 2020,4349,"""我对他没啥好改观的，因为本来他就没做错什么，cxk一直都是这样的，无脑跟风黑的人需要改改自己的脑袋，而不是改对他的观。""",hld,2174.5,0.03140822956599043,False
5,薛南木,Thu Mar 12 21:53:53 +0800 2020,4166,"""从来不看综艺的人，今天看了青你的微博各种传播，迅速觉得蔡徐坤真的是太好了""",hld,2083.0,0.9989874815563804,False
6,玉米片与灵魂同在,Thu Mar 12 21:55:34 +0800 2020,2757,"""原来只是路人，全网嘲的时候觉得莫名其妙，现在有一点点喜欢了""",hld,1378.5,0.7383097503847534,False
7,小陳發財,Thu Mar 12 21:54:58 +0800 2020,2063,"""我也有get到了 之前他好像有个渔网装的造型？我一直觉得好油腻所以一直都没关注过他的消息 这次看到他完全眼前一亮 这清爽大男孩是谁！！而且他讲篮球的时候我是真的有被心酸到……""",hld,1031.5,0.993378919393395,False
8,iamatudou,Thu Mar 12 22:03:07 +0800 2020,1871,"""说真的，青2让我看到了偶练巨C真的不是白叫的，有点后悔给他投路人票投少了""",hld,935.5,0.001301204667158995,False
9,加肉嗎,Thu Mar 12 21:52:16 +0800 2020,1506,"""有get到""",hld,753.0,0.5262327818078083,False
10,岛田狼军,Thu Mar 12 21:54:30 +0800 2020,1352,"""我真的get到了""",hld,676.0,0.6111111111111113,False
11,好好读书好好挣钱我们剧场见,Thu Mar 12 21:52:04 +0800 2020,1293,"""是的，今天真的意外圈粉""",hld,646.5,0.9688204573973319,False
12,·橘春零二,Thu Mar 12 22:16:15 +0800 2020,1226,"""啊啊啊啊啊啊啊啊啊啊我终于等到了cut""",qnjf,613.0,0.9945927890966607,False
13,帅了个仔,Thu Mar 12 21:55:17 +0800 2020,1182,"""他可真好看 我真肤浅""",hld,591.0,0.49992739087050053,False
14,柠栀去洗头了,Wed Mar 18 12:33:42 +0800 2020,966,"""作品即是他最好的盔甲""",fashion,483.0,0.8334676756007275,False
15,蔡大爷的bibi机,Thu Mar 12 22:16:40 +0800 2020,842,"""他是温柔本身""",qnjf,421.0,0.8694546229953743,False
16,嘛嘻哼唧,Thu Mar 12 21:52:01 +0800 2020,818,"""没错，感觉这次最圈粉的就是他了""",hld,409.0,0.6774273955035252,False
17,知名视频平台年费会员,Thu Mar 12 21:51:51 +0800 2020,812,"""脸还没get到但真的觉得他好温柔啊好心动这种体贴男生""",hld,406.0,0.9779904459305272,False
18,仲长莎莉清清,Wed Mar 18 12:34:38 +0800 2020,805,"""永远寻求突破，永远不懈努力，最终成就闪耀的自己 蔡徐坤一直用作品说话！""",fashion,402.5,0.9999662173482633,False
19,说好了无论如何走到未来的世界,Thu Mar 12 21:55:30 +0800 2020,797,"""他真的好温柔啊我天""",hld,398.5,0.8760622342547211,False
20,春色梅子酒,Wed Mar 18 12:33:57 +0800 2020,653,"""用时间来证明一切""",fashion,326.5,0.48287653046287005,False
21,氧气超young,Thu Mar 12 22:20:14 +0800 2020,624,"""云淡风轻，他已经赢了""",qnjf,312.0,0.9862097718737223,False
22,偷菜资深玩家,Thu Mar 12 22:21:01 +0800 2020,581,"""他就是温柔本身啊""",qnjf,290.5,0.8694546229953743,False
23,KUN的Rock少女碎碎,Wed Mar 18 12:32:50 +0800 2020,576,"""作品就是他最好的盔甲""",fashion,288.0,0.8334676756007275,True
24,非洲酋长的义女,Fri Apr 03 01:04:03 +0800 2020,524,"""饭拍永远比正片好看""",xmtz,262.0,0.7381841829895917,False
25,快乐星球825号,Thu Mar 12 22:00:01 +0800 2020,419,"""我看了之后对他的好感直升 而且前两天看营销号发的开枪的舞蹈动作真的有杀到我""",hld,209.5,0.3389663249115369,True
26,K优恩的流羽酱,Wed Mar 18 12:34:35 +0800 2020,419,"""作品就是他最好的铠甲""",fashion,209.5,0.8334676756007275,False
27,小沈同学今天努力了吗,Thu Mar 12 22:03:13 +0800 2020,413,"""最开始知道他是星动亚洲，妈耶！！！还有婴儿肥的脸听说偶练有他我才开始追的偶练""",hld,206.5,0.3834698564319964,False
28,奎葵上线啦,Thu Mar 12 22:54:19 +0800 2020,386,"""哇！cut，教父速度好快啊！！！""",qnjf,193.0,0.9621097491549861,True
29,小猪无语惹,Thu Mar 12 21:57:21 +0800 2020,372,"""他真的一直都很好很温柔很绅士 2020蔡徐坤重新了解一下叭""",hld,186.0,0.9779485729166091,False
30,穆勒女票,Wed Mar 18 12:33:49 +0800 2020,357,"""作品是他最好的盔甲""",fashion,178.5,0.8334676756007275,False
31,K幼恩初见藍玫瑰,Wed Mar 18 12:33:12 +0800 2020,318,"""作品是他最好的盔甲！时间会证明一切""",fashion,159.0,0.8246657854942064,False
32,熊猫x兔籽,Fri Apr 03 02:04:47 +0800 2020,276,"""听不清的可以配合repo吃用 。青2第一次公演repo（蓝色字为未播部分）→网页链接""",xmtz,138.0,0.7303622237815299,False
33,-August-馨馨,Thu Mar 12 22:22:34 +0800 2020,271,"""蔡PD真的超级温柔""",qnjf,135.5,0.9401516128968965,False
