Usename,Time,Like_count,Floor_number,Sourse,Comments
钮钴禄老韦,Fri Apr 03 10:55:06 +0800 2020,33,1767,,"""可爱的小坤"""
熊猫x兔籽,Fri Apr 03 02:04:47 +0800 2020,276,326,,"""听不清的可以配合repo吃用 。青2第一次公演repo（蓝色字为未播部分）→网页链接"""
非洲酋长的义女,Fri Apr 03 01:04:03 +0800 2020,524,4,,"""饭拍永远比正片好看"""
等雪等到困困,Fri Apr 03 01:05:41 +0800 2020,188,17,,"""中间说一个什么？？然后就笑的很开心！"""
夏夜晚困,Fri Apr 03 01:12:43 +0800 2020,173,61,,"""啊啊啊啊啊啊好甜！！是什么让一妙龄女子深夜在被窝甜到捂住嘴巴🙊🙊🙊"""
人生的旅途sss,Fri Apr 03 01:07:10 +0800 2020,92,29,,"""这是晚睡福利吗？我好想知道一开始比完🤫之后菜菜说了句啥然后笑得贼甜"""
蔡徐坤今天笑了吗·,Fri Apr 03 01:17:45 +0800 2020,48,88,,"""听不到说什么呀"""
我是CXK的小懒猪呀,Fri Apr 03 01:07:32 +0800 2020,51,30,,"""我宝宝好开心呀"""
蓝心冰灵,Fri Apr 03 01:25:07 +0800 2020,16,152,,"""我坤真的太优秀了！"""
一条爱困的鱼,Fri Apr 03 07:22:21 +0800 2020,7,649,,"""大早上就被甜死"""
绿眼的喵,Fri Apr 03 01:54:05 +0800 2020,9,298,,"""啊啊啊啊啊啊 他说完翻译老师 然后笑的那一下也太甜了吧 啊啊啊啊啊"""
葵花莉莉,Fri Apr 03 02:48:27 +0800 2020,0,380,,"""哇我来了！！好东西！！"""
提土旁的那个kun_,Fri Apr 03 01:04:27 +0800 2020,10,5,,"""一摇一摇小手手就很像小学那个让我们荡起双桨"""
CXK哥哥的女人不能超过100斤,Fri Apr 03 01:05:37 +0800 2020,13,16,,"""啊啊啊啊我宝宝笑的太开心啦好甜"""
Forever-only-for-KUN,Fri Apr 03 01:30:07 +0800 2020,6,199,,"""好可爱好温柔好甜啊"""
八月循环_,Fri Apr 03 08:29:40 +0800 2020,3,1097,,"""笑死了 爱困不管怎么样叫就行了"""
蔡徐坤的愣愣1992,Fri Apr 03 01:29:52 +0800 2020,3,196,,"""笑起来太甜了吧"""
蔡徐坤的愣愣1992,Fri Apr 03 01:29:14 +0800 2020,3,193,,"""我的宝贝好甜啊啊啊"""
Progress_AK,Fri Apr 03 01:04:40 +0800 2020,6,6,,"""就很美好"""
菜困小甜豆_,Fri Apr 03 01:21:40 +0800 2020,7,121,,"""我嘴角疯狂上扬"""
乐天天天都lucky,Fri Apr 03 01:19:45 +0800 2020,8,107,,"""他到底为什么这么可爱 笑得也太灿烂了吧[淚]"""
敏敏爱奎葵哥,Fri Apr 03 01:22:00 +0800 2020,8,124,,"""作者大大有原视频嘛?可以放出来吗，有配乐听不太清坤说了些啥"""
Kunkun麻麻歌迷,Fri Apr 03 11:49:22 +0800 2020,3,1880,,"""小坤笑起来真的好可爱，现场的ikun们好幸福哦"""
遇见-0802,Fri Apr 03 10:24:55 +0800 2020,1,1627,,"""可可爱爱蔡徐坤ớ ₃ờ"""
一只猪小果,Fri Apr 03 08:33:57 +0800 2020,1,1123,,"""啊啊啊好咚吸"""
youmiko821,Fri Apr 03 08:26:20 +0800 2020,1,1075,,""""""
甜葵星球_,Fri Apr 03 08:03:46 +0800 2020,2,911,,"""呜呜呜呜我的小甜豆"""
对你有82种执念,Fri Apr 03 07:22:11 +0800 2020,2,648,,"""这个小可爱我居然错过了"""
一只可爱的小熊呀,Fri Apr 03 06:55:42 +0800 2020,2,545,,"""坤坤超可爱"""
A_August水晶,Fri Apr 03 02:04:10 +0800 2020,2,321,,"""好可爱！好开心呀宝贝！@蔡徐坤"""
蔡先生的蔡太太太,Fri Apr 03 01:51:34 +0800 2020,2,292,,"""ikun太宠他了"""
诶大宝贝-Kun,Fri Apr 03 01:20:32 +0800 2020,2,112,,"""天呐，这是什么可爱宝贝"""
漫天柳絮飘,Fri Apr 03 01:24:38 +0800 2020,3,148,,"""背景音乐太大了，听不清说什么了"""
LA的夜雨,Fri Apr 03 12:05:50 +0800 2020,1,1923,,"""看他好开心啊"""
Shirleynkun,Fri Apr 03 09:32:29 +0800 2020,1,1415,,"""宝贝太可爱了"""
往后余生都只有蔡徐坤一个人,Fri Apr 03 07:07:50 +0800 2020,1,586,,"""嘴角疯狂上翘"""
漂亮哥哥小蔡,Fri Apr 03 08:39:19 +0800 2020,1,1153,,"""笑起来太甜了"""
小兔宝宝521,Mon Apr 06 19:05:20 +0800 2020,0,2370,,"""太可爱了"""
Cola也可口,Sun Apr 05 00:40:46 +0800 2020,0,2358,,"""#青2青春制作人代表蔡徐坤# 小坤坤怎么这么可爱呀@蔡徐坤"""
蜜雪儿的蔡徐坤,Sun Apr 05 00:36:27 +0800 2020,0,2357,,"""小坤坤真的很棒很棒！"""
youknowwhataha,Sat Apr 04 22:51:02 +0800 2020,0,2348,,"""太可爱啦啦啦啦"""
片片小菜,Sat Apr 04 22:41:01 +0800 2020,1,2346,,"""救命啊 这颗白菜糖分含量过高了吧"""
Ohmymymyohmymymylookingforsome,Sat Apr 04 17:10:43 +0800 2020,0,2319,,"""卧槽，，，，，，太可爱了啊啊啊啊"""
-陳KF,Sat Apr 04 09:10:53 +0800 2020,0,2306,,"""那些未曾相识的总能相遇 期待与你在舞台上的每一次约会@蔡徐坤"""
XU-YUE-YAN,Fri Apr 03 23:19:22 +0800 2020,0,2297,,"""蔡徐坤要多笑，开心@蔡徐坤"""
我被菜困甜昏啦,Fri Apr 03 23:14:45 +0800 2020,0,2294,,"""救命呀"""
想吃芒果味小葵,Fri Apr 03 23:06:38 +0800 2020,0,2290,,"""啊啊啊我熟了好甜好可爱啊小坤坤"""
飞天发光小蛋挞,Fri Apr 03 19:35:20 +0800 2020,0,2236,,"""呜呜呜怎么会有这么可爱又帅气的男孩子"""
Drmy_Ikun,Fri Apr 03 17:56:45 +0800 2020,1,2210,,"""原来你是这样的蔡PD"""
坤哥的喵喵喵,Fri Apr 03 17:46:52 +0800 2020,0,2208,,"""🍒"""
允儿日常爱KUN,Fri Apr 03 17:23:02 +0800 2020,0,2203,,"""我来了"""
木子雅kun_,Fri Apr 03 17:19:19 +0800 2020,0,2202,,"""可爱被子了"""
爱小西几的鱼,Fri Apr 03 16:47:52 +0800 2020,0,2195,,"""转发微博"""
灵魂天天冒冷气,Fri Apr 03 15:41:56 +0800 2020,0,2173,,"""听着甜甜的音乐看着笑容甜甜的菜菜，我真的甜化了@蔡徐坤"""
喜葵葵的小鱼儿,Fri Apr 03 15:28:39 +0800 2020,0,2163,,""""""
我爱芒果802,Fri Apr 03 14:44:59 +0800 2020,0,2141,,"""满满的爱意浇灌着我的小菜菜"""
坤哥的喵喵喵,Fri Apr 03 14:41:19 +0800 2020,0,2136,,"""🍒"""
是你的冒菜吖,Fri Apr 03 14:07:10 +0800 2020,0,2121,,"""甜到我哭啊啊啊啊"""
扮靓是要付出代价的,Fri Apr 03 14:03:42 +0800 2020,0,2118,,"""好可爱@蔡徐坤"""
日常犯困·,Fri Apr 03 14:01:52 +0800 2020,0,2116,,"""他真的笑的好开心呀看他这么开心我就好开心啊"""
雯雯咕叽咕叽_,Fri Apr 03 13:57:15 +0800 2020,0,2114,,"""pd好温柔啊www"""
