Usename,Time,Like_count,Floor_number,Sourse,Comments
赞比星途璀璨,Mon Mar 16 17:31:43 +0800 2020,1645,9,,"""网络上的你重拳出击 现实中的你不堪一击"""
女权,Mon Mar 16 17:31:54 +0800 2020,1529,12,,"""那段时间蔡徐坤真的被黑惨了！不过他心态挺好的"""
BEMYLION,Mon Mar 16 17:33:35 +0800 2020,1220,31,,"""“娱乐圈是一个提供娱乐的环境，你喜欢就看，不喜欢就不看。”有些人就是觉得所有人都得符合他的喜好，不喜欢就要骂。这个网络环境太多杠精。"""
Crystal星盘塔罗,Mon Mar 16 17:33:37 +0800 2020,1080,32,,"""现在看蔡徐坤，感觉很不错一少年啊"""
当春乃发生·,Mon Mar 16 17:31:44 +0800 2020,789,10,,"""ella真好"""
八月的小狮子冲呀,Mon Mar 16 17:32:45 +0800 2020,841,21,,"""感谢ella对小蔡的照顾开导 小蔡很有压力但表现得很好 肯定没少下功夫"""
老猫一点都不老,Mon Mar 16 17:31:36 +0800 2020,671,5,,"""妈的 老子真的对蔡徐坤黑转粉了！！"""
TNT2020年给我火,Mon Mar 16 17:31:47 +0800 2020,431,11,,"""那些玩梗的真的很过分"""
27號宇宙_,Mon Mar 16 17:31:39 +0800 2020,405,7,,"""蔡徐坤一路走过来太不容易了"""
第802次心动_K,Mon Mar 16 17:36:47 +0800 2020,353,60,,"""以前就很喜欢Ella，看到她跟蔡徐坤一起做节目感觉好棒，两个人都很优秀"""
xuanselfs,Mon Mar 16 17:33:01 +0800 2020,290,24,,"""太喜欢ELLA的性格了！"""
mjy7joy,Mon Mar 16 18:05:58 +0800 2020,272,177,,"""S.H.E也是标准女团上专业课拼命赶通告，但她们又不是流水线女团实力佳感情好，天时地利人和造就了空前绝后的她们，无可复制无可替代。"""
纸飞机__0802,Mon Mar 16 17:35:07 +0800 2020,222,44,,"""都是从苦经历过来的，蔡徐坤也是杀出了一条血路，未来会更好的"""
努力进阶的大草莓,Mon Mar 16 17:37:39 +0800 2020,199,67,,"""被蔡徐坤圈粉了，加油，未来可期"""
po照,Mon Mar 16 17:32:10 +0800 2020,203,15,,"""蔡徐坤真的惨啊！！那时候！"""
Icelandkid,Mon Mar 16 17:34:26 +0800 2020,196,39,,"""ella太可爱了！！采访做成脱口秀笑死我了"""
