Usename,Time,Like_count,Floor_number,Sourse,Comments
唐三是个小暖心,Thu Mar 12 20:44:17 +0800 2020,23024,435,,"""其实小蔡本身就没什么实质性黑点吧 所以一时的玩梗也不会一直持续 现在看就是挺好的一个小朋友"""
吃菜菜不吃菜菜-,Thu Mar 12 21:03:23 +0800 2020,16527,593,,"""不是自嘲 是释然是算了是大方回应被恶意剪辑鬼畜掩盖了的兴趣爱好本身  温柔地说出“ 篮球是我的爱好” 热爱真的无罪~"""
282号发光虫,Thu Mar 12 20:04:19 +0800 2020,10549,14,,"""多一些了解和靠近这个只是坚持自己的热爱的大男孩吧"""
抱月亮睡,Thu Mar 12 21:03:43 +0800 2020,9425,601,,"""“喜欢唱 跳 rap 篮球“小蔡一直说的都是“喜欢篮球“恶意鬼畜剪辑可以使一个人面目全非，让有的人还不认识他却已经开始讨厌他。男生喜欢打球是再正常不过的，恭喜小蔡终于能笑着说出来"""
WiiiiKUN,Thu Mar 12 20:03:58 +0800 2020,5321,5,,"""青春是漫长人生里最缤纷的色彩,热爱便是青春最美好的注解。同青春制作人代表@蔡徐坤 一起，为梦想增添一束光亮，用热爱记录最好的青春。"""
单单crush,Thu Mar 12 20:09:52 +0800 2020,5369,135,,"""所以还是要了解才能下定论"""
KUN_柠萌,Thu Mar 12 20:03:46 +0800 2020,5180,1,,"""蔡pd坚持你热爱的，我们一直在"""
短K腿U猫N,Thu Mar 12 20:04:22 +0800 2020,2752,15,,"""“别着急回应所有的声音，你的作品是舞台”期待蔡pd"""
桃子味的葵花籽,Thu Mar 12 20:11:11 +0800 2020,2957,157,,"""不知道说什么好，心情很复杂，他能释怀是最好的。。。。就希望以后能开心吧"""
小太阳o3o,Thu Mar 12 20:04:18 +0800 2020,1951,13,,"""坚持热爱"""
·绝缘体KUN·,Thu Mar 12 20:04:29 +0800 2020,1850,22,,"""别着急回应所有的声音，你的作品是舞台。"""
菜叶奎葵,Thu Mar 12 20:04:29 +0800 2020,1133,21,,"""别着急回应所有的声音，你的作品是舞台 期待蔡PD"""
高冷野女,Thu Mar 12 20:04:26 +0800 2020,983,16,,"""凡青春之人，必以梦想为光！用音乐拉开梦想的弓箭，青春有你的制作人代表@蔡徐坤 将用丰富的经验，教授《青春有你2》的所有学员，该如何拉弓射箭，劈开自己的一片天！在梦想的道路上，每个用心的人都会迎来鲜花和掌声！"""
新一海棠,Thu Mar 12 20:16:10 +0800 2020,768,241,,"""五官无死角"""
利不利害你坤哥,Thu Mar 12 20:04:51 +0800 2020,647,43,,"""别着急回应其他的声音，你的作品是舞台蔡代表太棒了"""
一心想睡困,Thu Mar 12 20:05:04 +0800 2020,568,52,,"""不论是爱好还是特长，坚持自己所热爱的，做自己喜欢的事，是最棒的！"""
蔡小葵的卷儿,Thu Mar 12 20:04:47 +0800 2020,490,39,,"""做好准备的人一定会得到一颗糖。"""
苏等等吖,Thu Mar 12 20:08:59 +0800 2020,475,120,,"""蔡徐坤真的好温暖啊，好喜欢他不错！"""
向沂可可,Thu Mar 12 20:04:14 +0800 2020,418,10,,"""热爱无罪期待蔡PD 今晚八点不见不散@蔡徐坤"""
SweetheartKUN_徐徐,Thu Mar 12 20:14:49 +0800 2020,358,217,,"""只是和所有这个年纪的男孩子一样单纯热爱篮球罢了 热爱没有错"""
番茄与柚子qp,Thu Mar 12 20:16:36 +0800 2020,273,246,,"""每一个了解他的人都会喜欢他"""
壁咚蔡徐坤-,Thu Mar 12 20:03:48 +0800 2020,231,2,,"""期待今晚的蔡pd！！！"""
小野loewe,Thu Mar 12 20:07:44 +0800 2020,236,96,,"""其实他也挺温暖的吧"""
知名口嗨少年,Thu Mar 12 21:02:12 +0800 2020,412,567,,"""四个大字 🐔你太美"""
清水悠哉,Thu Mar 12 20:04:28 +0800 2020,202,18,,"""蔡代表讲话太温柔了"""
Ikun_可爱,Thu Mar 12 20:04:14 +0800 2020,193,11,,"""不惧流言 热爱至上"""
AugustGilding-,Thu Mar 12 20:04:33 +0800 2020,155,27,,"""坚持自己的热爱 别着急回应所有的声音，你的作品，是舞台 会越来越好的"""
蔡徐坤TOUR_MEETING,Thu Mar 12 20:04:53 +0800 2020,130,44,,"""蔡PD终于来了！！！我始终相信只要付出努力就能得到回报，因为巨c舞台王者蔡徐坤就是这样来的！@蔡徐坤"""
小鬼捣蛋东西,Thu Mar 12 20:11:03 +0800 2020,87,150,,"""希望你们都能够看到它的温暖和柔软，真的打篮球不是故意的"""
K幼恩初见藍玫瑰,Thu Mar 12 20:05:16 +0800 2020,121,58,,"""坚持热爱"""
伊呀守护小葵花,Thu Mar 12 20:04:29 +0800 2020,95,20,,"""别着急回应所有声音，你的作品，是舞台！期待蔡代表"""
Ridiculous_Kun,Thu Mar 12 20:24:26 +0800 2020,68,324,,"""用亲身经历传递自身经验，真的是很暖 爱你蔡徐坤"""
忘了不是王乐,Thu Mar 12 20:11:21 +0800 2020,61,161,,"""你是因为舞台而在的，加油！"""
April_Admire_August,Thu Mar 12 20:19:12 +0800 2020,59,277,,"""蔡徐坤好样的"""
BEMYLION,Thu Mar 12 21:20:31 +0800 2020,66,813,,"""两年前在这个平台他说了特长“唱跳rap篮球”，两聪明地开玩笑说“不是特长，是爱好”。他看开了。不用等到天黑，天亮了所有爱好篮球的男孩子都能光明正大地打篮球"""
大狮子的小兔子呀,Thu Mar 12 20:12:15 +0800 2020,50,172,,"""很开心，看到他能这么轻松的说说这些热爱至上"""
十里飘香你真香,Thu Mar 12 20:08:00 +0800 2020,33,101,,"""不知道从什么时候开始，蔡徐坤的爱好就是我的爱好了"""
常靠谱ikun,Thu Mar 12 20:12:27 +0800 2020,36,176,,"""“外部注视不是带来真正自信的源头，我需要作品作为底气，所以红了之后第一件事情就是去磨作品”                                                    ——蔡徐坤"""
EKekkun_,Thu Mar 12 20:05:42 +0800 2020,34,63,,"""你永远是我们的5号"""
林晨式,Thu Mar 12 20:06:43 +0800 2020,32,81,,"""是的是的 超暖又很有趣的一个人@蔡徐坤"""
小葵最爱芹菜炒牛肉芒果冰,Thu Mar 12 20:11:12 +0800 2020,35,158,,"""“别着急回应所有的声音，你的作品是舞台”蔡pd来了"""
Cc蔡甜,Thu Mar 12 20:06:37 +0800 2020,26,80,,"""坚持自己的热爱"""
我可能要发火了a,Thu Mar 12 20:03:56 +0800 2020,35,4,,"""他值得被这世界温柔对待"""
可酪布丁,Thu Mar 12 20:05:09 +0800 2020,24,56,,"""追逐梦想的道路，从来布满荆棘。青春制作人代表@蔡徐坤 回归曾经的舞台，带领追梦人用执着和热爱铸就成长！"""
永远爱坤cxk的坤,Thu Mar 12 20:04:34 +0800 2020,17,29,,"""比星星更闪耀的，是他在舞台上的灯光，比努力更难能可贵的，是他年复一年的坚持，比痛苦更难以承受的，是梦想之船的停泊，热血且满怀希望，青春制作人代表@蔡徐坤 ，以师之名，不负韶华，不负期望！"""
木子白的冰,Thu Mar 12 20:05:24 +0800 2020,15,61,,"""不甘囿于世俗的庸常，接受无限可能的挑战；追梦路上，从不停歇，期待今晚蔡PD@蔡徐坤"""
倪倪倪小美,Thu Mar 12 20:04:33 +0800 2020,18,26,,"""“别着急回应所有的声音，你的作品是舞台”"""
喜歡獅子坤,Thu Mar 12 20:05:01 +0800 2020,13,51,,"""别着急回应所有的声音，你的作品，是舞台。期待蔡PD"""
一无恩,Thu Mar 12 20:14:13 +0800 2020,18,207,,"""最难的就是坚持自我 坤坤继续加油呀 很多人都爱你"""
珊宝在旅行,Thu Mar 12 20:09:43 +0800 2020,22,133,,"""多乖的小孩啊"""
坤家辰辰吖,Thu Mar 12 20:11:57 +0800 2020,17,169,,"""别着急回应其他的声音，你的作品是舞台"""
·ForeverKun_密儿·,Thu Mar 12 20:04:42 +0800 2020,9,36,,"""王者霸气回归，也是梦开始的地方，今晚一起和青春制作人代表@蔡徐坤 用《YOUNG》的态度，造梦未来"""
墨言要好运暴富,Thu Mar 12 20:04:33 +0800 2020,9,25,,"""期待帅气温柔专业的蔡徐坤PD"""
菲鱼鱼smile,Thu Mar 12 22:40:14 +0800 2020,9,3087,,"""真的！专业能力强不说，人品情商教养都很Good！！！你说叫了解他的粉丝如何不被圈得死死的！"""
肉包里面全是菜,Thu Mar 12 20:04:40 +0800 2020,7,34,,"""蔡徐坤@蔡徐坤 一直都很清醒，花花世界，静守己心，做得很好“别着急回应所有的声音，你的作品是舞台”"""
梓漫漫,Thu Mar 12 20:11:14 +0800 2020,11,159,,"""来自蔡徐坤同学的自黑发问：你确定打篮球是特长而不是爱好吗？"""
南南akunkun,Thu Mar 12 20:04:51 +0800 2020,6,42,,"""青春制作人代表@蔡徐坤 回归曾经的舞台，带领追梦人用执着和热爱铸就成长！"""
明天是新的开始吗,Thu Mar 12 20:08:59 +0800 2020,8,119,,"""一直是个温柔善良的小孩"""
一颗糯米葵浅浅,Thu Mar 12 21:17:42 +0800 2020,4,778,,"""热爱，没有错，每个热爱都值得被尊重"""
十里飘香你真香,Thu Mar 12 20:15:38 +0800 2020,5,232,,"""作品就是你蔡徐坤最好的回答，爱你爱你爱你😘😘😘😘😘😘😘😘😘"""
Christine婷仔,Thu Mar 12 20:04:35 +0800 2020,5,31,,"""热爱无畏期待蔡代表@蔡徐坤"""
苏葵ntnanai,Thu Mar 12 22:54:03 +0800 2020,9,3284,,"""他从来没有说过是特长"""
八月狮子喵,Thu Mar 12 20:04:41 +0800 2020,4,35,,"""“别着急回应所有的声音，你的作品，是舞台”很高兴蔡PD释然了舞台真的很优秀哦"""
八月邮递员,Thu Mar 12 20:04:36 +0800 2020,4,32,,"""青春以梦想为指引，青春不负朝夕，青春以拼搏启章！他是温文尔雅的蔡学长，也是谦虚低调的蔡制作人，更是童心未泯的”小葵“，见过蔡音乐人的舞台了？那就来看看蔡代表的舞台吧！@蔡徐坤"""
爱困的小坤龙,Thu Mar 12 22:05:55 +0800 2020,4,2378,,"""蔡徐坤重新了解一下吧！"""
坤kun静,Thu Mar 12 20:05:28 +0800 2020,3,62,,"""别着急回应所有的声音，以作品舞台守护初心，一往无前，永远炽热️@蔡徐坤"""
LUCKYIKUNGIRL,Thu Mar 12 22:05:49 +0800 2020,5,2375,,"""热爱有什么错，天亮以后去打篮球吧"""
七月慕葵,Thu Mar 12 20:06:12 +0800 2020,3,76,,"""可爱，温柔，暖心，专业，乐观，谦虚又调皮，蔡代表有些太多优秀的品质啦，等着你来发现！"""
