Usename,Time,Like_count,Floor_number,Sourse,Comments
SweetheartKUN_徐徐,Thu Mar 26 19:45:55 +0800 2020,6230,1,,"""好看我好喜欢，“蓝”朋友，好帅，晚上不见不散蔡代表"""
Ridiculous_Kun,Thu Mar 26 19:45:56 +0800 2020,5020,2,,"""蔡徐坤太可爱啦"""
小葵肉包,Thu Mar 26 19:46:11 +0800 2020,3890,12,,"""哈哈哈哈哈哈哈蔡pd太可啦 爱了爱了"""
lu子婷ni_,Thu Mar 26 19:46:14 +0800 2020,2800,15,,"""期待蔡徐坤[給力][給力]"""
利不利害你坤哥,Thu Mar 26 19:46:08 +0800 2020,2355,9,,"""他太可爱了吧？又有梗，真是一个宝藏男孩"""
坤家辰辰吖,Thu Mar 26 19:46:09 +0800 2020,2245,10,,"""蔡徐坤真的太可爱了"""
纸飞机__0802,Thu Mar 26 19:46:16 +0800 2020,1755,16,,"""蔡PD吧，蓝色西装好帅，今晚看你"""
·玖仟柒·,Thu Mar 26 19:46:25 +0800 2020,989,20,,"""太可爱了迫不及待见到了"""
L一Mil,Thu Mar 26 19:46:22 +0800 2020,889,18,,"""哈哈哈哈哈哈 太可爱了待会不见不散"""
刘爱坤Alan,Thu Mar 26 19:46:49 +0800 2020,742,30,,"""太可爱了吧啊啊啊啊啊我在现场我差点昏倒"""
Sokkun,Thu Mar 26 19:46:24 +0800 2020,627,19,,"""蔡PD好可爱呀"""
Chestnut_Kun,Thu Mar 26 19:46:00 +0800 2020,551,5,,"""蔡徐坤太可爱！！"""
CC张小兔,Thu Mar 26 19:48:43 +0800 2020,445,162,,"""哈哈哈被迫营业，蔡徐坤你也有今天"""
August_蓝玫瑰,Thu Mar 26 19:46:11 +0800 2020,404,13,,"""蔡代表好可爱哦！"""
吃菜菜不吃菜菜-,Thu Mar 26 19:49:40 +0800 2020,353,265,,"""额外工作了！导演快给加工资！"""
肥肥爱困,Thu Mar 26 19:46:04 +0800 2020,314,6,,"""搬好小板凳啦，期待今晚，期待蔡PD"""
蒸汽秋葵葵哟,Thu Mar 26 19:48:31 +0800 2020,247,141,,"""嗷嗷嗷嗷比剪刀手的蔡pd太可爱啦"""
是福猪陌陌吖,Thu Mar 26 19:51:26 +0800 2020,215,502,,"""哈哈哈哈哈哈哈哈哈我被笑死、最后还说了这个工作好难！哈哈哈哈哈pd你怎么这么可爱！不行了我被pd可爱死了"""
葵歡喜,Thu Mar 26 19:46:07 +0800 2020,191,8,,"""蔡徐坤太可爱啦"""
·江河无风·,Thu Mar 26 19:46:07 +0800 2020,175,7,,"""期待今晚的PD"""
八月恋雪葵,Thu Mar 26 19:49:25 +0800 2020,110,244,,"""可爱又有梗，期待今晚蔡pd  @蔡徐坤"""
做更好的自己YSK,Thu Mar 26 19:46:48 +0800 2020,86,29,,"""蔡徐坤好可爱呀，蔡pd太帅啦"""
K葵味甜粥_T,Thu Mar 26 19:48:16 +0800 2020,0,103,,"""期待蔡PD"""
坤kun静,Thu Mar 26 19:48:29 +0800 2020,61,135,,"""哈哈哈'好可爱 马上就要见到蔡pd啦"""
坤坤家的麦麦,Thu Mar 26 19:47:09 +0800 2020,75,37,,"""蔡徐坤身穿蓝色休闲西装外套真的好帅，期待今晚的与你不见不散"""
樱井舒芙蕾,Thu Mar 26 19:46:26 +0800 2020,0,23,,"""哈哈哈哈蔡PD太可爱了，疯狂期待@蔡徐坤"""
伊呀守护小葵花,Thu Mar 26 19:47:09 +0800 2020,39,36,,"""哈哈哈哈哈哈哈哈蔡徐坤太可爱啦"""
·忘川星河·,Thu Mar 26 19:46:36 +0800 2020,52,26,,"""今晚的“蓝”朋友不见不散哦蔡PD"""
脸圆圆的菜包ikun,Thu Mar 26 20:01:28 +0800 2020,51,1238,,"""来 徐困 来麻麻亲亲😚😚😚😚😚"""
·镜哥顶级难泡·,Thu Mar 26 19:50:02 +0800 2020,30,305,,"""啊啊啊啊啊啊啊啊啊我没了！请各位导师尽情地逗这个小朋友吧！"""
欤困·,Thu Mar 26 19:46:29 +0800 2020,38,25,,"""蔡徐坤啊啊啊啊啊我太可以了"""
未曾谋面的什么时候能相遇啊,Thu Mar 26 19:52:05 +0800 2020,22,584,,"""无语太可爱了！"""
蔡徐坤TOUR_MEETING,Thu Mar 26 19:53:30 +0800 2020,17,732,,"""蔡代表蓝色西装太帅了吧！！！喜欢！期待晚上的蔡主持哇@蔡徐坤"""
大狮子的小兔子呀,Thu Mar 26 19:52:26 +0800 2020,0,617,,"""哈哈哈蔡pd在线营业喽"""
k舆lun,Thu Mar 26 19:49:03 +0800 2020,18,209,,"""我蓝盆友哇！！！！"""
呀小葵花呐,Thu Mar 26 19:46:14 +0800 2020,19,14,,"""蔡徐坤太可爱了！！！期待今晚"""
802號呆木偶,Thu Mar 26 19:48:20 +0800 2020,12,109,,"""太太太太太太太太可爱了吧蔡徐坤🤧🤧"""
amiki在行动,Thu Mar 26 19:53:18 +0800 2020,0,709,,"""“这个工作好辛苦哦”"""
坤滴猪猪女孩,Thu Mar 26 19:46:25 +0800 2020,18,21,,"""期待蔡徐坤"""
是你眼中的星星啊,Thu Mar 26 19:56:55 +0800 2020,10,1002,,"""太可爱了，我的天，还有4分钟就8点了，我的蓝朋友，我来啦"""
柚子味魔仙堡,Thu Mar 26 19:50:33 +0800 2020,19,384,,"""蔡徐坤：有这个流程吗 我台本上没有啊"""
春色梅子酒,Thu Mar 26 21:13:21 +0800 2020,10,2471,,"""被迫营业的样子太搞笑了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈"""
紫罗兰的清香love,Thu Mar 26 19:47:15 +0800 2020,10,41,,"""哈哈哈蔡代表太可爱了，被迫营业"""
逐風執事,Thu Mar 26 20:56:53 +0800 2020,11,2041,,"""蔡PD:我就没受过这样的苦"""
憨憨小坤居咪,Thu Mar 26 19:48:52 +0800 2020,8,188,,"""期待蔡代表"""
杨杨养乐多,Thu Mar 26 19:52:44 +0800 2020,7,648,,"""这个工作好辛苦哦哈哈哈哈哈😂 😂 😂 😂"""
七月慕葵,Thu Mar 26 19:55:19 +0800 2020,5,899,,"""开始了，快啦！"""
kun式无语的浪漫,Thu Mar 26 19:54:49 +0800 2020,5,857,,"""太可爱了吧"""
