Usename,Time,Like_count,Floor_number,Sourse,Comments
葵葵滑滑梯,Thu Mar 12 13:02:24 +0800 2020,2791,37,,"""我这就来了！！！"""
K二欣_对你的body着迷,Thu Mar 12 13:02:46 +0800 2020,2327,58,,"""来了来了，文字版，看看是是怎样的蔡PD"""
瑾瑜_Aug,Thu Mar 12 13:02:17 +0800 2020,1956,34,,"""来看蔡PD，通透幽默的蔡徐坤"""
隨遇邇an,Thu Mar 12 13:03:16 +0800 2020,1630,82,,"""来啦来啦，徐坤太有梗了高冷呀"""
是福猪陌陌吖,Thu Mar 12 13:02:35 +0800 2020,1479,50,,"""文字版俺来了！新的一年高冷一点！（可以跟你生孩子嘛"""
CC张小兔,Thu Mar 12 13:02:41 +0800 2020,1050,55,,"""文字版我爱了！！蔡pd真的超级棒"""
肉包里面全是菜,Thu Mar 12 13:02:55 +0800 2020,761,67,,"""又可以更了解他了，喜欢这个专访。"""
清汤少油不要葱,Thu Mar 12 13:02:32 +0800 2020,597,46,,"""蔡pd我来啦"""
菀·_·IKUN,Thu Mar 12 13:02:54 +0800 2020,555,66,,"""来了来了我来看小葵！"""
八月邮递员,Thu Mar 12 13:02:31 +0800 2020,405,42,,"""来了！来了！"""
KUN的Rock少女碎碎,Thu Mar 12 13:02:40 +0800 2020,376,52,,"""蔡徐坤你说的对"""
倪倪倪小美,Thu Mar 12 13:02:40 +0800 2020,286,53,,"""期待期待，蔡徐坤太可爱了"""
小太阳o3o,Thu Mar 12 13:02:31 +0800 2020,239,43,,"""来啦来啦"""
圆耳朵守护者,Thu Mar 12 13:02:27 +0800 2020,223,38,,"""超喜欢这次的采访 喜欢喜欢"""
K优恩的流羽酱,Thu Mar 12 13:04:03 +0800 2020,175,120,,"""来啦，文字版太爱了"""
卟伶咛,Thu Mar 12 13:03:12 +0800 2020,155,80,,"""我来看蔡代表了！"""
我家小葵敲可爱会拿话筒敲脑袋,Thu Mar 12 13:03:17 +0800 2020,138,83,,"""这段采访真的很喜欢送你小心心"""
Joyce_丹,Thu Mar 12 13:03:37 +0800 2020,113,102,,"""这些都是蔡徐坤走过的路，世界上没有完全的感同身受，但是会有将心比心。@蔡徐坤 一直在尽自己的力量，帮助教导大家追梦"""
一丝温暖一缕阳光,Thu Mar 12 13:03:42 +0800 2020,102,106,,"""来看蔡pd的专访@蔡徐坤"""
菜叶奎葵,Thu Mar 12 13:03:19 +0800 2020,102,86,,"""文字版专访我来啦 来看蔡徐坤啦"""
Sun_葵花牌南瓜,Thu Mar 12 13:03:07 +0800 2020,66,76,,"""蔡徐坤说的都对，今晚不见不散"""
