Usename,Time,Like_count,Floor_number,Sourse,Comments
GG-Pink,Sun Mar 15 13:34:01 +0800 2020,7426,4,,"""严厉有温度，温柔有原则！超级暖心的蔡PD啊！"""
八月狮子喵,Sun Mar 15 13:34:51 +0800 2020,6759,36,,"""哈哈哈哈哈他真的好有梗好可爱哦"""
墨鱼破壳仔,Sun Mar 15 13:34:39 +0800 2020,5241,23,,"""哇，蔡徐坤的专访呀，快来看呀，蔡pd超有料呀"""
阳光养蔡场,Sun Mar 15 13:34:24 +0800 2020,4046,11,,"""蔡代表我来了"""
CC张小兔,Sun Mar 15 13:34:52 +0800 2020,3330,37,,"""哈哈哈哈哈哈蔡徐坤你怎么这么可爱。暖心又专业的蔡PD我要给你投票！！"""
802菜畦大部队,Sun Mar 15 13:35:05 +0800 2020,2941,53,,"""严格又温柔的蔡PD"""
·ForeverKun_密儿·,Sun Mar 15 13:35:01 +0800 2020,2270,48,,"""哈哈哈哈好可爱的pd"""
柠檬一点都不酸a,Sun Mar 15 13:35:39 +0800 2020,1970,104,,"""哈哈哈哈哈哈  蔡pd越来越好好笑哦"""
August_蓝玫瑰,Sun Mar 15 13:34:39 +0800 2020,1587,22,,"""温柔的蔡pd"""
柠栀去洗头了,Sun Mar 15 13:36:16 +0800 2020,1294,154,,"""新采访 我来了"""
爱K优恩的括弧笑,Sun Mar 15 13:36:23 +0800 2020,1192,160,,"""哈哈哈哈哈哈他好可爱啊！！！"""
AugustGilding-,Sun Mar 15 13:37:00 +0800 2020,863,197,,"""新采访 来啦"""
清汤少油不要葱,Sun Mar 15 13:36:38 +0800 2020,891,174,,"""想看他示范女团舞"""
清水悠哉,Sun Mar 15 13:34:57 +0800 2020,648,43,,"""哈哈，蔡pd超有梗，好可爱"""
ikun张晓红,Sun Mar 15 13:36:28 +0800 2020,583,163,,"""新采访我来啦！"""
kunwannaget炫,Sun Mar 15 13:34:59 +0800 2020,583,45,,"""你去便利店不都拎着三大袋回来的么蔡徐坤"""
蒸汽秋葵葵哟,Sun Mar 15 13:37:07 +0800 2020,509,207,,"""哇专访来啦！看到就是赚到！蔡pd优秀"""
向沂可可,Sun Mar 15 13:38:34 +0800 2020,345,278,,"""严格是真严格 温柔也是真的温柔 蔡PD👍"""
黛粉的太阳葵,Sun Mar 15 13:35:41 +0800 2020,392,108,,"""蔡PD严格认真又不失幽默@蔡徐坤"""
清水悠哉,Sun Mar 15 13:41:57 +0800 2020,293,743,,"""蔡徐坤：我现在会截图了。也就是说当时他确实不会"""
奎葵向阳花,Sun Mar 15 13:39:22 +0800 2020,252,320,,"""蔡徐坤pd评级风格:凌厉有温度，温柔有原则 一如他那个人，虽有棱角，却又不会锋芒毕露剑气凌人 """
压马路遇上烤冷面,Sun Mar 15 13:36:14 +0800 2020,340,149,,"""温柔又严厉的蔡老师，继续发光吧"""
刘爱坤Alan,Sun Mar 15 13:35:55 +0800 2020,213,127,,"""新采访我来了[好喜歡][好喜歡][好喜歡]"""
EKekkun_,Sun Mar 15 13:39:17 +0800 2020,192,316,,"""蔡pd八岁！"""
一不小心就爱困,Sun Mar 15 13:35:11 +0800 2020,153,58,,"""pd真的很严格很温柔！"""
BEMYLION,Sun Mar 15 13:41:17 +0800 2020,150,620,,"""“男生穷养，女生富养。”你想起两年前的你过的苦日子了吗？"""
大奎的佳宝,Sun Mar 15 13:41:07 +0800 2020,123,575,,"""哈哈哈哈好可爱"""
超级小葵Hua,Sun Mar 15 13:36:58 +0800 2020,121,195,,"""哈哈 太可爱了 这土味顺口溜竟然还不错"""
今天依旧困困的涵涵,Sun Mar 15 13:35:27 +0800 2020,94,84,,"""温柔又严格的蔡PD"""
金狮嗅蔷薇,Sun Mar 15 13:37:55 +0800 2020,77,250,,"""天呐天呐！！他也太可爱了吧！小嘴叭叭的！"""
夏末凉城空余心__,Sun Mar 15 13:45:21 +0800 2020,68,1483,,"""原来蔡徐坤是这么可爱的，以前一直觉得他好高冷"""
Ikun_可爱,Sun Mar 15 13:37:20 +0800 2020,54,221,,"""哈哈 是个温柔又可爱的大男孩啊"""
菀·_·IKUN,Sun Mar 15 13:39:05 +0800 2020,51,302,,"""他真的很细心又温柔啊，对待选手真的很好注重细节的男孩子"""
-星余,Sun Mar 15 13:34:51 +0800 2020,78,33,,"""我要被蔡徐坤圈粉了"""
对我是猫猫,Sun Mar 15 13:40:35 +0800 2020,57,466,,"""因为他说每个女生都是独一无二的自己，我失去的自信心又回来了，加油！"""
DAY肖夫人TOY,Sun Mar 15 13:37:32 +0800 2020,73,234,,"""青你真的是对蔡徐坤路人转路人粉"""
森林麋鹿Dong,Sun Mar 15 13:41:04 +0800 2020,53,567,,"""啊啊啊啊啊我想再说一次太可爱了！！！还有在他每一次采访或者交流中能体会到他真的很尊重女生温柔体贴又善良！！！加油你可以的"""
打cp狗的正统棋唯,Sun Mar 15 13:35:18 +0800 2020,58,67,,"""没有不苟言笑，也没有严格吧？我觉得挺温柔的啊，还经常笑，笑起来也好看，哈哈哈哈哈，而且声音好好听，蔡徐坤对自己有误解"""
玥HELEN1221,Sun Mar 15 13:42:12 +0800 2020,52,795,,"""蔡徐坤冲呀  下期就给你搞这个热搜哈哈哈哈哈哈哈"""
DADA-哒小仙,Sun Mar 15 13:40:55 +0800 2020,58,528,,"""分寸拿捏得当，既有原则又有风度，蔡PD超级棒👍"""
AAA大老婆,Sun Mar 15 13:35:37 +0800 2020,51,101,,"""温柔专业的蔡代表"""
向暖·,Sun Mar 15 13:40:26 +0800 2020,48,436,,"""哈哈哈蔡徐坤真的很有梗很可爱！！好喜欢好喜欢"""
是如仔啊,Sun Mar 15 13:37:03 +0800 2020,44,200,,"""新采访 太可爱了  网页链接"""
葵葵优恩,Sun Mar 15 13:36:40 +0800 2020,36,177,,"""我速速赶来看坤PD  网页链接"""
qpencil,Sun Mar 15 13:34:51 +0800 2020,36,35,,"""蔡pd 是最棒的  网页链接"""
凡伊墨,Sun Mar 15 13:35:04 +0800 2020,30,52,,"""是高冷蔡大奎"""
陈晓芳,Sun Mar 15 13:57:25 +0800 2020,32,3447,,"""我笑死了你预测的真的没上哈哈哈哈哈哈哈哈哈哈冲呀是什么哈哈哈哈根本没剪进来#蔡徐坤冲呀# 我给你创个话题哈哈哈哈哈"""
RoseforKun0802,Sun Mar 15 13:49:51 +0800 2020,30,2392,,"""“大厂共有一出手，热搜必须搞到手”服了蔡徐坤的造句能力！"""
八月恋雪葵,Sun Mar 15 13:39:38 +0800 2020,26,338,,"""同样的经历，让蔡PD@蔡徐坤 对选手们更能感同身受。以很温暖专业的方式给与选手们鼓励和自信，有共情感，暖心又可爱。"""
卟伶咛,Sun Mar 15 13:40:53 +0800 2020,19,519,,"""你好有梗啊蔡pd  网页链接"""
苏木恋茯苓,Sun Mar 15 13:37:33 +0800 2020,17,235,,"""哈哈哈，蔡徐坤蔡Pd温柔可爱，凌厉有温度，负责有态度  网页链接"""
爆C菜花,Sun Mar 15 13:36:55 +0800 2020,13,190,,"""哈哈哈哈蔡pd咋这么可爱"""
82K·依然,Sun Mar 15 13:44:12 +0800 2020,14,1242,,"""是专业严格的蔡代表 也是温柔可爱的大男孩呀"""
ay坤哥厉害了,Sun Mar 15 13:38:33 +0800 2020,13,277,,"""哈哈哈哈哈哈我们当时没有这个福利的，有点🍋啊"""
artist_kun,Sun Mar 15 13:40:41 +0800 2020,14,484,,"""新采访！我来了"""
佳人彩子,Sun Mar 15 13:34:49 +0800 2020,16,30,,"""蔡徐坤太可啦"""
S·K-August,Sun Mar 15 13:41:25 +0800 2020,15,644,,"""哈哈哈哈哈哈哈时严格又温柔还帅气的5g达人蔡·梗王·Pd啦"""
据说磊哥喜欢Cxk,Sun Mar 15 13:35:15 +0800 2020,10,63,,"""哇哦，来看蔡PD的采访啦！专业的代表nim  网页链接"""
KUN坤葵,Sun Mar 15 13:41:25 +0800 2020,10,642,,"""专访来啦，来看看我们严厉又暖心的蔡PD啦  网页链接"""
乐天天天都lucky,Sun Mar 15 13:45:02 +0800 2020,9,1413,,"""#蔡徐坤冲呀#速速把蔡PD要的rs搞上去哈哈哈"""
小狐狸爱困,Sun Mar 15 13:44:09 +0800 2020,9,1226,,"""蔡PD这个采访好好玩，造句被吐槽土！冲鸭"""
女友在线冲浪,Sun Mar 15 13:46:15 +0800 2020,9,1703,,"""怎么这么可爱和好笑！！蔡徐坤！"""
Christine婷仔,Sun Mar 15 13:37:17 +0800 2020,9,217,,"""哇！新鲜的蔡PD！好惊喜啊！！"""
对我是猫猫,Sun Mar 15 13:48:37 +0800 2020,6,2173,,"""2分22秒"""
Team_K_蔡小坤Luis,Sun Mar 15 13:44:26 +0800 2020,5,1285,,"""超级暖心蔡PD"""
Regulus丨Nemea,Sun Mar 15 13:45:48 +0800 2020,13,1584,,"""大厂工友一出手，热搜必须搞到手 哈哈哈哈哈哈哈哈哈哈哈蔡徐坤复古潮流！！"""
cherry的丸子与花轮,Sun Mar 15 13:37:44 +0800 2020,9,241,,"""我想馋一个主题曲蔡代表教学版蔡三岁也罢八岁也可以～～"""
KUN的红姐,Sun Mar 15 14:21:30 +0800 2020,5,5431,,"""哈哈，纠结吃了，当时是饿坏了吧 蔡徐坤评级风格：凌厉有温度，温柔有原则！！"""
