Usename,Time,Like_count,Floor_number,Sourse,Comments
蔡徐坤你压到我头发啦,Thu Apr 09 12:22:07 +0800 2020,57790.0,356,,"""希望与爱 从未离开"""
葵葵星系,Thu Apr 09 12:22:13 +0800 2020,43525.0,988,,"""好听"""
L_Yin--,Thu Apr 09 12:22:23 +0800 2020,39711.0,2248,,"""好温暖"""
葵奎的w,Thu Apr 09 12:22:30 +0800 2020,35853.0,3603,,"""超级好听啊！ 希望与爱，从未离开！"""
K·Echo,Thu Apr 09 12:22:33 +0800 2020,31247.0,4218,,"""希望与爱 从未离开"""
葵奎的欣,Thu Apr 09 12:22:42 +0800 2020,25368.0,6143,,"""“希望与爱 从未离开”🌳"""
爱困不想醒来,Thu Apr 09 12:22:51 +0800 2020,22104.0,7884,,"""新歌很好听！家一直在，我们也一直都在！希望与爱，从未离开！别怕孤单，有我们陪你！"""
K_noKi,Thu Apr 09 12:22:39 +0800 2020,19916.0,5383,,"""希望与爱 从未离开！"""
皖大宝贝,Thu Apr 09 12:22:24 +0800 2020,17736.0,2542,,"""我们"""
我是CXK的小懒猪呀,Thu Apr 09 12:22:59 +0800 2020,18632.0,9437,,"""谢谢 “别怕孤单，家一直在”，好感动，一切都会过去，“阳光终将会驱散阴霾”呀"""
托瓜少年KUN,Thu Apr 09 12:22:49 +0800 2020,16284.0,7425,,"""希望与爱，从未离开"""
惟爱你九,Thu Apr 09 12:22:55 +0800 2020,13122.0,8692,,"""好听好棒！"""
爱吃野菜呢,Thu Apr 09 12:22:55 +0800 2020,12315.0,8707,,"""//@蔡徐坤:那天我在玩儿童钢琴 弹出了这段和弦 就好像老天送了我一份温暖的礼物 于是写下这首歌 也想把它送给你们"""
慧妍-kun,Thu Apr 09 12:23:19 +0800 2020,10704.0,13005,,"""“希望与爱 从未离开” “别怕孤单 家一直在” “阳光终将会驱散阴霾” “我们不是孤身一人 我们正在回家的路上”"""
kamado炭治郎,Thu Apr 09 12:23:00 +0800 2020,10978.0,9617,,"""我收到了"""
小冉i奶坤,Thu Apr 09 12:23:13 +0800 2020,9549.0,12028,,"""小十四是一个公主哦"""
看到你的笑颜就很幸福,Thu Apr 09 12:23:10 +0800 2020,8205.0,11549,,"""爱与希望"""
zlh_mumu,Thu Apr 09 12:22:52 +0800 2020,7795.0,8024,,"""温暖，好听//@蔡徐坤:那天我在玩儿童钢琴 弹出了这段和弦 就好像老天送了我一份温暖的礼物 于是写下这首歌 也想把它送给你们"""
ttranquillityy,Thu Apr 09 12:23:01 +0800 2020,7045.0,9700,,"""好听，治愈我的坏心情"""
陆叶祺养猪了,Thu Apr 09 12:21:57 +0800 2020,7163.0,9,,"""这首歌很温暖啊！好感动！听了想哭😭这场战“疫”中，没有孤军奋战，别怕孤单！这个春天真的来之不易，但是再多的困难我们都会一起面对，我们会一起用爱守护我们共同的家园！我们不是孤身一人，家一直在🌳 一起用歌声记录希望，以爱心传递力量，希望与爱，从未离开宝贝你真的是小天使🤧"""
遵纪守法的李同学,Thu Apr 09 12:23:30 +0800 2020,6288.0,14826,,"""好温柔的礼物！"""
跟你说了别关注我,Thu Apr 09 12:23:26 +0800 2020,5148.0,14307,,"""好～有感受到温暖与纯真的祝愿～愿一切都越来越好～"""
芒果冰沙_林绾,Thu Apr 09 12:23:21 +0800 2020,5298.0,13293,,"""希望与爱，从未离开"""
坤KUNkun-C,Thu Apr 09 12:22:59 +0800 2020,4827.0,9452,,"""好暖好暖💛"""
·仅困可见·,Thu Apr 09 12:23:30 +0800 2020,4029.0,14887,,"""我也会一直在//@蔡徐坤:那天我在玩儿童钢琴 弹出了这段和弦 就好像老天送了我一份温暖的礼物 于是写下这首歌 也想把它送给你们"""
玫瑰甜心派,Thu Apr 09 12:23:18 +0800 2020,4153.0,13032,,"""超级喜欢//@蔡徐坤:那天我在玩儿童钢琴 弹出了这段和弦 就好像老天送了我一份温暖的礼物 于是写下这首歌 也想把它送给你们"""
葵敏妹吖cxk,Thu Apr 09 12:23:24 +0800 2020,4032.0,13980,,"""哥哥你真的太有才，希望与爱都会一直在，我们都会一直在"""
Psyche是新英文名,Thu Apr 09 12:23:27 +0800 2020,3010.0,14647,,"""加入治愈歌单//@蔡徐坤:那天我在玩儿童钢琴 弹出了这段和弦 就好像老天送了我一份温暖的礼物 于是写下这首歌 也想把它送给你们"""
艺瑶是蔡徐坤的ikun,Thu Apr 09 12:23:39 +0800 2020,3021.0,16391,,"""好听呢宝贝！"""
-LiuMEnGge,Thu Apr 09 12:26:45 +0800 2020,2698.0,36360,,"""mv很漂亮，就像灰色被镶上了希望的颜色"""
和小蔡去月球,Thu Apr 09 12:23:50 +0800 2020,2247.0,18085,,"""“希望与爱，从未离开”"""
